DATE,PX_LAST,VOLUME,OPEN_INTEREST
2017-12-18,28731.25,1054.0,215.0
2017-12-19,27377.42,559.0,231.0
2017-12-20,25632.49,784.0,306.0
2017-12-21,23060.21,879.0,407.0
2017-12-22,21262.63,2374.0,489.0
2017-12-25,,,489.0
2017-12-26,23744.65,406.0,491.0
2017-12-27,22097.49,507.0,493.0
2017-12-28,20675.97,746.0,566.0
2017-12-29,21766.56,1078.0,498.0
2018-01-02,22345.69,734.0,596.0
2018-01-03,22526.2,719.0,611.0
2018-01-04,22413.39,760.0,642.0
2018-01-05,24955.58,814.0,671.0
2018-01-08,22420.91,958.0,642.0
2018-01-09,22187.75,863.0,665.0
2018-01-10,21736.47,887.0,690.0
2018-01-11,20134.44,1298.0,727.0
2018-01-12,20976.82,787.0,748.0
2018-01-16,16787.48,2552.0,730.0
2018-01-17,16464.06,2657.0,696.0
2018-01-18,17772.76,1708.0,618.0
2018-01-19,17088.33,979.0,560.0
2018-01-22,15576.55,1137.0,509.0
2018-01-23,16689.7,1241.0,410.0
2018-01-24,16719.78,838.0,283.0
2018-01-25,16915.34,769.0,139.0
2018-01-26,16434.53,141.0,85.0
2018-01-29,16741.79,463.0,867.0
2018-01-30,14898.24,1137.0,849.0
2018-01-31,14988.17,842.0,866.0
2018-02-01,13624.25,1485.0,873.0
2018-02-02,12867.35,2535.0,1010.0
2018-02-05,10881.41,2186.0,1228.0
2018-02-06,11316.07,2234.0,1315.0
2018-02-07,12357.75,1379.0,1402.0
2018-02-08,12477.65,906.0,1364.0
2018-02-09,12904.82,764.0,1277.0
2018-02-12,13279.52,679.0,1170.0
2018-02-13,13039.71,550.0,1104.0
2018-02-14,13924.01,944.0,1159.0
2018-02-15,15123.07,1783.0,940.0
2018-02-16,15018.15,1101.0,877.0
2018-02-19,,,877.0
2018-02-20,17588.62,2080.0,594.0
2018-02-21,15542.74,1326.0,459.0
2018-02-22,15115.57,1168.0,243.0
2018-02-23,15466.94,299.0,168.0
2018-02-26,15933.28,745.0,1441.0
2018-02-27,16570.61,761.0,1469.0
2018-02-28,16547.29,1130.0,1387.0
2018-03-01,17200.17,1345.0,1353.0
2018-03-02,17192.4,748.0,1332.0
2018-03-05,18055.13,990.0,1479.0
2018-03-06,16555.07,1580.0,1449.0
2018-03-07,15218.23,1888.0,1460.0
2018-03-08,14611.98,2524.0,1410.0
2018-03-09,14013.51,2742.0,1436.0
2018-03-12,13850.3,2732.0,1395.0
2018-03-13,14099.01,3375.0,1361.0
2018-03-14,12863.21,2638.0,1268.0
2018-03-15,12801.03,3093.0,1251.0
2018-03-16,13298.46,3065.0,1274.0
2018-03-19,13057.52,2746.0,1246.0
2018-03-20,13904.7,2050.0,1170.0
2018-03-21,13819.21,1829.0,1130.0
2018-03-22,13415.05,2123.0,1039.0
2018-03-23,13391.73,2895.0,1012.0
2018-03-26,12295.83,2433.0,742.0
2018-03-27,12272.51,3738.0,494.0
2018-03-28,12241.42,3252.0,374.0
2018-03-29,11487.37,1097.0,
2018-04-02,10947.06,3539.0,1369.0
2018-04-03,11683.13,2274.0,1489.0
2018-04-04,10743.47,2951.0,1500.0
2018-04-05,10586.86,4565.0,1520.0
2018-04-06,10383.26,2415.0,1503.0
2018-04-09,10453.74,3348.0,1527.0
2018-04-10,10712.15,1882.0,1486.0
2018-04-11,10837.43,1746.0,1582.0
2018-04-12,12027.67,4825.0,1662.0
2018-04-13,12693.27,3045.0,1744.0
2018-04-16,12497.5,3858.0,1676.0
2018-04-17,12348.72,2676.0,1573.0
2018-04-18,12724.59,2826.0,1574.0
2018-04-19,12936.01,2718.0,1507.0
2018-04-20,13374.52,2318.0,1511.0
2018-04-23,13852.18,2952.0,1117.0
2018-04-24,14807.51,4681.0,944.0
2018-04-25,14047.95,10346.0,588.0
2018-04-26,13883.5,4924.0,364.0
2018-04-27,14456.89,911.0,160.0
2018-04-30,14910.65,2999.0,1723.0
2018-05-01,14305.63,3143.0,1654.0
2018-05-02,14568.34,2093.0,1709.0
2018-05-03,15404.23,4177.0,1938.0
2018-05-04,15396.27,3762.0,2060.0
2018-05-07,15022.11,4705.0,2043.0
2018-05-08,14703.67,4435.0,1995.0
2018-05-09,14775.32,3015.0,1964.0
2018-05-10,14472.81,3063.0,2015.0
2018-05-11,13732.45,4980.0,2064.0
2018-05-14,13939.43,5754.0,1984.0
2018-05-15,13621.0,4222.0,1872.0
2018-05-16,13135.39,4978.0,1852.0
2018-05-17,13023.94,2872.0,1698.0
2018-05-18,13103.54,3390.0,1596.0
2018-05-21,13334.41,2701.0,1239.0
2018-05-22,13023.94,2341.0,992.0
2018-05-23,12084.56,4586.0,791.0
2018-05-24,12068.63,4427.0,473.0
2018-05-25,11931.61,971.0,371.0
2018-05-29,12019.82,5052.0,2218.0
2018-05-30,11739.17,2471.0,2211.0
2018-05-31,12100.0,2102.0,2328.0
2018-06-01,11931.61,2197.0,2223.0
2018-06-04,12027.84,1625.0,2290.0
2018-06-05,12228.3,2069.0,2363.0
2018-06-06,12091.98,1450.0,2345.0
2018-06-07,12356.6,1437.0,2460.0
2018-06-08,12276.41,1301.0,2432.0
2018-06-11,10825.05,3861.0,2351.0
2018-06-12,10424.12,3875.0,2305.0
2018-06-13,10055.27,5146.0,2428.0
2018-06-14,10640.62,4461.0,2294.0
2018-06-15,10472.24,2485.0,2348.0
2018-06-18,10736.85,2794.0,2258.0
2018-06-19,10801.0,1563.0,2135.0
2018-06-20,10817.03,2108.0,2123.0
2018-06-21,10760.9,1135.0,2036.0
2018-06-22,9886.88,3832.0,1950.0
2018-06-25,10015.18,4762.0,1420.0
2018-06-26,9878.86,3173.0,1029.0
2018-06-27,9878.86,3229.0,725.0
2018-06-28,9758.58,1962.0,465.0
2018-06-29,9439.25,860.0,306.0
2018-07-02,10662.41,3977.0,1956.0
2018-07-03,10589.99,1627.0,2075.0
2018-07-04,,,2075.0
2018-07-05,10469.28,6739.0,2208.0
2018-07-06,10565.85,2038.0,2253.0
2018-07-09,10775.07,1765.0,2172.0
2018-07-10,10227.87,3084.0,2092.0
2018-07-11,10187.63,2719.0,1998.0
2018-07-12,9914.03,3076.0,2023.0
2018-07-13,9922.08,3558.0,2076.0
2018-07-16,10742.88,3171.0,2168.0
2018-07-17,11756.82,5582.0,2106.0
2018-07-18,11901.67,6956.0,2127.0
